plant_name,plant_code,region,state,fuel_types,primary_technology
Montague Road Solar,64042,New England,MA,SUN,Solar Photovoltaic
Montague Site 36-Grosolar,62092,New England,MA,SUN,Solar Photovoltaic
Morin Solar 2013 LLC,60612,New England,MA,SUN,Solar Photovoltaic
Mt Wachusett Community College,58025,New England,MA,WND,Onshore Wind Turbine
Mt. Tom Solar Project Hybrid,60906,New England,MA,"MWH, SUN",Multiple
Mystic Generating Station,1588,New England,MA,NG,Natural Gas Fired Combined Cycle
NEDC Solar Site,57270,New England,MA,SUN,Solar Photovoltaic
NFM Solar Power LLC,58210,New England,MA,SUN,Solar Photovoltaic
Nantucket Hybrid,1615,New England,MA,"DFO, MWH",Multiple
Natick Mall,63290,New England,MA,SUN,Solar Photovoltaic
New Bedford (MA) Plymouth,59780,New England,MA,SUN,Solar Photovoltaic
New England Wind LLC,57380,New England,MA,WND,Onshore Wind Turbine
Newark America Mill,57103,New England,MA,NG,Natural Gas Steam Turbine
Newton Rumford Landfill,64162,New England,MA,SUN,Solar Photovoltaic
Nexamp Peak CSG,60879,New England,MA,SUN,Solar Photovoltaic
Nextsun Energy Littleton,62842,New England,MA,SUN,Solar Photovoltaic
Nolan,65559,New England,MA,SUN,Solar Photovoltaic
North Adams Landfill,60074,New England,MA,SUN,Solar Photovoltaic
North Brookfield,58650,New England,MA,SUN,Solar Photovoltaic
Northampton Landfill Solar PV,60908,New England,MA,SUN,Solar Photovoltaic
Northbridge Solar,58385,New England,MA,SUN,Solar Photovoltaic
